epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,25.8577,0.82062,6.20465,0.00394,0.00416,0.83333,0.22617,0.1797,0.67609,7.66124,0.00754,0.000381067,0.000381067,0.000381067
2,44.4801,1.00022,6.91497,0.00543,0.005,1,0.47575,0.38017,0.63562,7.69344,0.00792,0.000848912,0.000848912,0.000848912
3,63.1369,0.87959,6.20431,0.00559,0.005,1,0.46308,0.31544,0.61974,7.61166,0.00774,0.00130733,0.00130733,0.00130733
4,82.132,1.0119,5.26981,0.00564,0.005,1,0.63133,0.44922,0.5997,7.52161,0.00726,0.00138656,0.00138656,0.00138656
5,101.026,1.04767,4.60137,0.00608,0.00459,0.91667,0.51569,0.42073,0.57254,7.53772,0.0069,0.00137241,0.00137241,0.00137241
6,119.526,1.06505,4.65325,0.00558,0.005,1,0.50475,0.38752,0.71612,7.50367,0.0091,0.00135826,0.00135826,0.00135826
7,138.084,0.90219,4.87169,0.00566,0.005,1,0.64052,0.50093,0.70557,7.41615,0.00897,0.00134412,0.00134412,0.00134412
8,156.838,0.99155,4.21332,0.0054,0.005,1,0.63009,0.47397,0.83904,7.42386,0.0113,0.00132997,0.00132997,0.00132997
9,175.442,0.93572,4.55311,0.00568,0.96914,0.16667,0.64983,0.49632,0.67937,7.30056,0.00811,0.00131582,0.00131582,0.00131582
10,194.431,1.00031,4.29087,0.00622,0.66667,0.19938,0.77917,0.6318,0.76991,7.21443,0.00894,0.00130168,0.00130168,0.00130168
11,213.636,0.91688,4.69456,0.00648,0.005,1,0.77051,0.56489,0.88081,7.22985,0.01136,0.00128753,0.00128753,0.00128753
12,232.738,0.95594,3.85009,0.00611,1,0.17989,0.85204,0.66986,0.68497,6.74757,0.00845,0.00127338,0.00127338,0.00127338
13,251.535,0.85969,4.11513,0.00487,0.96505,0.62913,0.995,0.81349,0.66328,6.27364,0.0084,0.00125923,0.00125923,0.00125923
14,270.071,1.05168,3.23952,0.00513,0.97982,0.70533,0.97833,0.77814,0.69885,6.1683,0.00876,0.00124509,0.00124509,0.00124509
15,288.91,0.94105,3.68912,0.00541,0.95801,0.77299,0.97833,0.76332,0.68596,5.98198,0.00813,0.00123094,0.00123094,0.00123094
16,307.645,0.89489,5.01337,0.00505,0.9504,0.94998,0.995,0.76933,0.7662,5.89083,0.00967,0.00121679,0.00121679,0.00121679
17,327.235,0.85831,3.3447,0.00602,0.92319,1,0.995,0.806,0.66848,5.51617,0.00832,0.00120265,0.00120265,0.00120265
18,346.149,0.98438,3.61251,0.00602,0.93938,1,0.995,0.8152,0.75826,5.24968,0.00887,0.0011885,0.0011885,0.0011885
19,365.114,0.88068,3.38482,0.00506,0.946,1,0.995,0.81459,0.71744,5.16501,0.00883,0.00117435,0.00117435,0.00117435
20,384.015,0.87812,3.22817,0.00473,0.9493,1,0.995,0.8315,0.74469,4.9459,0.00924,0.00116021,0.00116021,0.00116021
21,403.038,0.80903,3.31157,0.0051,0.88528,0.94678,0.995,0.83819,0.73276,4.61648,0.00892,0.00114606,0.00114606,0.00114606
22,421.997,0.84393,3.809,0.00558,0.96616,1,0.995,0.83929,0.6925,4.39198,0.00837,0.00113191,0.00113191,0.00113191
23,441.07,0.83973,3.0724,0.00559,0.94342,1,0.995,0.83851,0.65871,4.1663,0.00784,0.00111776,0.00111776,0.00111776
24,460.296,0.86125,3.20392,0.00484,0.95989,1,0.995,0.86347,0.65555,3.98575,0.00797,0.00110362,0.00110362,0.00110362
25,479.451,0.8873,3.41289,0.00671,0.98637,1,0.995,0.84544,0.73042,3.78691,0.00891,0.00108947,0.00108947,0.00108947
26,498.326,0.91646,2.96863,0.00616,0.98912,1,0.995,0.86206,0.77601,3.72267,0.00985,0.00107532,0.00107532,0.00107532
27,517.175,0.80578,2.83836,0.00537,0.98476,1,0.995,0.84603,0.72665,3.61198,0.00922,0.00106118,0.00106118,0.00106118
28,536.253,0.75895,2.71385,0.00469,0.97522,0.99671,0.995,0.85656,0.74375,3.51554,0.00951,0.00104703,0.00104703,0.00104703
29,554.937,0.79886,3.2719,0.00508,0.96855,1,0.995,0.85726,0.71014,3.27274,0.00921,0.00103288,0.00103288,0.00103288
30,573.616,0.83441,2.52549,0.0041,0.97529,1,0.995,0.83521,0.68995,3.18725,0.00895,0.00101873,0.00101873,0.00101873
31,592.658,0.86931,2.36768,0.00454,0.97809,1,0.995,0.84342,0.64907,3.10911,0.00815,0.00100459,0.00100459,0.00100459
32,611.337,0.83474,2.53677,0.00491,0.98051,1,0.995,0.88908,0.57866,3.02238,0.00704,0.00099044,0.00099044,0.00099044
33,630.041,0.78379,2.71554,0.00433,0.96501,1,0.995,0.83296,0.72089,2.97337,0.00883,0.000976293,0.000976293,0.000976293
34,648.808,0.71692,2.29016,0.00409,0.97549,1,0.995,0.83296,0.72218,2.88419,0.00891,0.000962146,0.000962146,0.000962146
35,667.464,0.76298,2.42008,0.00457,0.98082,1,0.995,0.87028,0.6727,2.76918,0.00824,0.000947999,0.000947999,0.000947999
36,686.127,0.85567,2.32728,0.00449,0.97786,1,0.995,0.88956,0.5997,2.65028,0.00734,0.000933851,0.000933851,0.000933851
37,704.834,0.86596,2.18053,0.00485,0.97621,1,0.995,0.90617,0.60762,2.57648,0.0073,0.000919704,0.000919704,0.000919704
38,724.018,0.8069,2.35674,0.00432,0.97942,1,0.995,0.89308,0.72125,2.57304,0.00889,0.000905557,0.000905557,0.000905557
39,742.596,0.83201,2.27103,0.00477,0.98249,1,0.995,0.85583,0.81061,2.57504,0.00989,0.00089141,0.00089141,0.00089141
40,761.656,0.84759,2.52766,0.00533,0.98362,1,0.995,0.83092,0.81097,2.51907,0.00975,0.000877263,0.000877263,0.000877263
41,780.772,0.8368,2.17465,0.00468,0.9885,1,0.995,0.86829,0.75758,2.45722,0.0091,0.000863116,0.000863116,0.000863116
42,799.355,0.83758,2.17152,0.0047,0.9884,1,0.995,0.89517,0.70939,2.41981,0.00861,0.000848969,0.000848969,0.000848969
43,818.198,0.84761,2.14826,0.00457,0.98553,1,0.995,0.89308,0.65867,2.35826,0.00804,0.000834822,0.000834822,0.000834822
44,836.871,0.83305,2.07991,0.00467,0.98213,1,0.995,0.91672,0.60786,2.28095,0.00757,0.000820675,0.000820675,0.000820675
45,855.987,0.80084,1.97201,0.00404,0.98127,1,0.995,0.90361,0.69609,2.2755,0.00925,0.000806528,0.000806528,0.000806528
46,874.88,0.78251,1.82208,0.00416,0.98087,1,0.995,0.88208,0.7103,2.25179,0.00908,0.00079238,0.00079238,0.00079238
47,893.86,0.67855,2.15406,0.00416,0.98078,1,0.995,0.88486,0.72203,2.21183,0.00862,0.000778233,0.000778233,0.000778233
48,912.96,0.88153,1.85994,0.00424,0.97963,1,0.995,0.84944,0.74019,2.18301,0.00863,0.000764086,0.000764086,0.000764086
49,932.289,0.75307,1.78131,0.00458,0.9811,1,0.995,0.862,0.71714,2.13597,0.00876,0.000749939,0.000749939,0.000749939
50,951.147,0.70886,1.98121,0.00455,0.98207,1,0.995,0.85588,0.68907,2.07843,0.00858,0.000735792,0.000735792,0.000735792
51,969.707,0.79675,1.84221,0.00455,0.98253,1,0.995,0.87875,0.6551,2.033,0.00772,0.000721645,0.000721645,0.000721645
52,988.372,0.72665,1.71123,0.00477,0.98263,1,0.995,0.87875,0.59526,1.9741,0.00673,0.000707498,0.000707498,0.000707498
