epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,25.339,0.82246,6.19259,0.00396,0.00457,0.91667,0.20253,0.18113,0.69284,7.72298,0.00808,0.000381067,0.000381067,0.000381067
2,44.3248,1.046,6.92161,0.00585,0.005,1,0.36519,0.28718,0.6224,7.6414,0.0073,0.000848912,0.000848912,0.000848912
3,63.8791,0.94951,6.18735,0.00613,0.005,1,0.49189,0.32082,0.80386,7.76172,0.01023,0.00130733,0.00130733,0.00130733
4,82.678,1.0516,5.28499,0.00598,0.005,1,0.56661,0.35328,0.73539,7.60181,0.00852,0.00138656,0.00138656,0.00138656
5,101.564,1.04565,4.63601,0.00578,0.00461,0.91667,0.6437,0.45267,0.69461,7.59242,0.00851,0.00137241,0.00137241,0.00137241
6,120.384,0.99363,4.58013,0.00517,0.0046,0.91667,0.6154,0.42727,0.69865,7.60079,0.00822,0.00135826,0.00135826,0.00135826
7,139.186,0.93588,4.77282,0.00614,0.005,1,0.61246,0.47645,0.69628,7.43271,0.00793,0.00134412,0.00134412,0.00134412
8,157.881,0.96303,4.21101,0.00551,0.00531,1,0.58661,0.43794,0.75435,7.42777,0.00919,0.00132997,0.00132997,0.00132997
9,176.752,0.91017,4.38303,0.00563,0.80101,0.08333,0.65787,0.50919,0.83489,7.35499,0.00958,0.00131582,0.00131582,0.00131582
10,195.842,0.9943,4.20813,0.00633,0.74256,0.08333,0.67185,0.51109,0.93101,7.32453,0.01135,0.00130168,0.00130168,0.00130168
11,214.968,0.92734,4.65446,0.00637,0.76114,0.08333,0.67185,0.5229,0.9344,7.19715,0.01174,0.00128753,0.00128753,0.00128753
12,234.091,1.0173,3.83731,0.00648,0.78431,0.39862,0.745,0.60681,0.86087,6.98632,0.01055,0.00127338,0.00127338,0.00127338
13,252.685,0.94261,4.35094,0.00555,0.81032,0.5,0.85611,0.65351,0.84686,6.84272,0.01077,0.00125923,0.00125923,0.00125923
14,271.316,1.13865,3.25509,0.00586,0.92164,0.71178,0.90929,0.64066,0.8963,6.65492,0.01098,0.00124509,0.00124509,0.00124509
15,290.193,0.99662,3.72811,0.00557,1,0.71518,0.995,0.71314,0.85122,6.33545,0.01101,0.00123094,0.00123094,0.00123094
16,308.924,0.8873,5.02073,0.00501,0.96411,0.83189,0.995,0.73508,0.95026,6.17848,0.01231,0.00121679,0.00121679,0.00121679
17,327.67,0.85731,3.39194,0.00588,0.93943,0.94713,0.995,0.75597,0.86665,5.5981,0.01022,0.00120265,0.00120265,0.00120265
18,346.111,0.92679,3.62824,0.00547,0.95788,0.98596,0.995,0.80832,0.84036,5.4193,0.01019,0.0011885,0.0011885,0.0011885
